id,genres,name,release_time,directors,writers,starts
3318,Thriller,Deterrence (1998),,,,
3319,Drama,Judy Berlin (1999),"October 6, 1999 ",Eric Mendelsohn,Eric Mendelsohn|Eric Mendelsohn|Eric Mendelsohn,Barbara Barrie|Bob Dishy|Edie Falco|Barbara Barrie|Bob Dishy|Edie Falco|Barbara Barrie|Bob Dishy|Edie Falco|Barbara Barrie|Bob Dishy|Edie Falco|Caruso / Mendelsohn Productions|Shooting Gallery|Starz! Encore Entertainment
3320,Comedy|Romance,Mifune (Mifunes sidste sang) (1999),"March 12, 1999 ",Søren Kragh-Jacobsen,Anders Thomas Jensen|Søren Kragh-Jacobsen|Anders Thomas Jensen|Søren Kragh-Jacobsen|Anders Thomas Jensen|Søren Kragh-Jacobsen|Anders Thomas Jensen|Søren Kragh-Jacobsen|Anders Thomas Jensen|Søren Kragh-Jacobsen|Anders Thomas Jensen|Søren Kragh-Jacobsen,Iben Hjejle|Anders W. Berthelsen|Jesper Asholt|Iben Hjejle|Anders W. Berthelsen|Jesper Asholt|Iben Hjejle|Anders W. Berthelsen|Jesper Asholt|Iben Hjejle|Anders W. Berthelsen|Jesper Asholt
3321,Comedy,"Waiting Game, The (2000)",2017 ,Stephanie Anne Lewis,Stephanie Anne Lewis|Stephanie Anne Lewis|Stephanie Anne Lewis,Ashleigh Domangue|June Jones|Brettlin Karalius|Ashleigh Domangue|June Jones|Brettlin Karalius|Ashleigh Domangue|June Jones|Brettlin Karalius|Ashleigh Domangue|June Jones|Brettlin Karalius
3322,Comedy,3 Strikes (2000),"March 1, 2000 ",DJ Pooh,DJ Pooh|DJ Pooh|DJ Pooh,Brian Hooks|N'Bushe Wright|Faizon Love|Brian Hooks|N'Bushe Wright|Faizon Love|Brian Hooks|N'Bushe Wright|Faizon Love|Brian Hooks|N'Bushe Wright|Faizon Love
3323,Comedy|Crime,Chain of Fools (2000),22 September 2000 (USA),Pontus Löwenhielm|Patrick von Krusenstjerna,Bix Skahill,Steve Zahn|Salma Hayek|Jeff Goldblum
3324,Comedy,Drowning Mona (2000),3 March 2000 (USA),Nick Gomez,Peter Steinfeld,Danny DeVito|Bette Midler|Neve Campbell
3325,Comedy|Drama,"Next Best Thing, The (2000)",3 March 2000 (USA),John Schlesinger,Tom Ropelewski,Madonna|Rupert Everett|Benjamin Bratt
3326,Comedy|Sci-Fi,What Planet Are You From? (2000),3 March 2000 (USA),Mike Nichols,Garry Shandling|Michael Leeson,Garry Shandling|Annette Bening|John Goodman
3327,Documentary,Beyond the Mat (2000),"March 17, 2000 ",Barry W. Blaustein,Barry W. Blaustein|Barry W. Blaustein|Barry W. Blaustein,Terry Funk|Mick Foley|Jake Roberts|Terry Funk|Mick Foley|Jake Roberts|Terry Funk|Mick Foley|Jake Roberts|Terry Funk|Mick Foley|Jake Roberts
3328,Crime|Drama,Ghost Dog: The Way of the Samurai (1999),6 October 1999 (France),Jim Jarmusch,Jim Jarmusch,Forest Whitaker|Henry Silva|John Tormey
3329,Drama,"Year My Voice Broke, The (1987)",15 October 1987 (Australia),John Duigan,John Duigan,Noah Taylor|Loene Carmen|Ben Mendelsohn
3330,Drama,Splendor in the Grass (1961),17 November 1961 (Japan),Elia Kazan,William Inge,Natalie Wood|Warren Beatty|Pat Hingle
3331,Drama,My Tutor (1983),22 April 1983 (USA),George Bowers,Joe Roberts,Matt Lattanzi|Caren Kaye|Kevin McCarthy
3332,Adventure|Children's,"Legend of Lobo, The (1962)","November 7, 1962 ",James Algar,Dwight Hauser|James Algar|Ernest Thompson Seton|Dwight Hauser|James Algar|Ernest Thompson Seton|Dwight Hauser|James Algar|Ernest Thompson Seton|Dwight Hauser|James Algar|Ernest Thompson Seton|Dwight Hauser|James Algar|Ernest Thompson Seton|Dwight Hauser|James Algar|Ernest Thompson Seton,Rex Allen|Ingvald Lieberkind|Robert Dalban|Rex Allen|Ingvald Lieberkind|Robert Dalban|Rex Allen|Ingvald Lieberkind|Robert Dalban|Rex Allen|Ingvald Lieberkind|Robert Dalban
3333,Drama,"Killing of Sister George, The (1968)","December 16, 1968 ",Robert Aldrich,Frank Marcus|Lukas Heller|Frank Marcus|Lukas Heller|Frank Marcus|Lukas Heller|Frank Marcus|Lukas Heller|Frank Marcus|Lukas Heller|Frank Marcus|Lukas Heller,Beryl Reid|Susannah York|Coral Browne|Beryl Reid|Susannah York|Coral Browne|Beryl Reid|Susannah York|Coral Browne|Beryl Reid|Susannah York|Coral Browne
3334,Crime|Drama|Film-Noir|Thriller,Key Largo (1948),31 July 1948 (USA),John Huston,Richard Brooks|John Huston,Humphrey Bogart|Edward G. Robinson|Lauren Bacall
3335,Crime|Drama,Jail Bait (1954),"May 12, 1954 ",Edward D. Wood Jr.,Alex Gordon|Edward D. Wood Jr.|Alex Gordon|Edward D. Wood Jr.|Alex Gordon|Edward D. Wood Jr.|Alex Gordon|Edward D. Wood Jr.|Alex Gordon|Edward D. Wood Jr.|Alex Gordon|Edward D. Wood Jr.,Lyle Talbot|Dolores Fuller|Herbert Rawlinson|Lyle Talbot|Dolores Fuller|Herbert Rawlinson|Lyle Talbot|Dolores Fuller|Herbert Rawlinson|Lyle Talbot|Dolores Fuller|Herbert Rawlinson
3336,Drama,It Happened Here (1961),"August 8, 1966 ",Kevin Brownlow|Andrew Mollo,Kevin Brownlow|Andrew Mollo|Dinah Brooke|Kevin Brownlow|Andrew Mollo|Dinah Brooke|Kevin Brownlow|Andrew Mollo|Dinah Brooke|Kevin Brownlow|Andrew Mollo|Dinah Brooke|Kevin Brownlow|Andrew Mollo|Dinah Brooke|Kevin Brownlow|Andrew Mollo|Dinah Brooke,Pauline Murray|Sebastian Shaw|Bart Allison|Pauline Murray|Sebastian Shaw|Bart Allison|Pauline Murray|Sebastian Shaw|Bart Allison|Pauline Murray|Sebastian Shaw|Bart Allison
3337,Comedy|Drama,I'll Never Forget What's 'is Name (1967),"February 9, 1968 ",Michael Winner,Peter Draper|Peter Draper|Peter Draper,Oliver Reed|Orson Welles|Carol White|Oliver Reed|Orson Welles|Carol White|Oliver Reed|Orson Welles|Carol White|Oliver Reed|Orson Welles|Carol White
3338,Documentary,For All Mankind (1989),19 May 1989 (USA),Al Reinert,Jim Lovell|Ken Mattingly|Russell Schweickart,Wrenn Schmidt|Michael Dorman|Joel Kinnaman
3339,War,Cross of Iron (1977),"May 20, 1977 ",Sam Peckinpah,Julius J. Epstein|Walter Kelley|James Hamilton|Julius J. Epstein|Walter Kelley|James Hamilton|Julius J. Epstein|Walter Kelley|James Hamilton|Julius J. Epstein|Walter Kelley|James Hamilton|Julius J. Epstein|Walter Kelley|James Hamilton|Julius J. Epstein|Walter Kelley|James Hamilton,James Coburn|Maximilian Schell|James Mason|James Coburn|Maximilian Schell|James Mason|James Coburn|Maximilian Schell|James Mason|James Coburn|Maximilian Schell|James Mason
3340,Horror|Sci-Fi,Bride of the Monster (1956),"June 16, 2022 ",Gary Alazraki,Matt Lopez|Edward Streeter|Matt Lopez|Edward Streeter|Matt Lopez|Edward Streeter|Matt Lopez|Edward Streeter|Matt Lopez|Edward Streeter|Matt Lopez|Edward Streeter,Andy Garcia|Gloria Estefan|Adria Arjona|Andy Garcia|Gloria Estefan|Adria Arjona|Andy Garcia|Gloria Estefan|Adria Arjona|Andy Garcia|Gloria Estefan|Adria Arjona
3341,Comedy,Born Yesterday (1950),February 1951 (USA),George Cukor,Garson Kanin,Judy Holliday|William Holden|Broderick Crawford
3342,Drama|War,Birdy (1984),21 December 1984 (USA),Alan Parker,William Wharton|Sandy Kroopf,Matthew Modine|Nicolas Cage|John Harkins
3343,Comedy|Drama|Romance,And God Created Woman (1988),"March 4, 1988 ",Roger Vadim,R.J. Stewart|R.J. Stewart|R.J. Stewart,Rebecca De Mornay|Vincent Spano|Frank Langella|Rebecca De Mornay|Vincent Spano|Frank Langella|Rebecca De Mornay|Vincent Spano|Frank Langella|Rebecca De Mornay|Vincent Spano|Frank Langella
3344,Horror,Blood Feast (1963),6 July 1963 (USA),Herschell Gordon Lewis,David F. Friedman|Herschell Gordon Lewis|Louise Downe,William Kerwin|Mal Arnold|Connie Mason
3345,Adventure|Children's,"Charlie, the Lonesome Cougar (1967)",18 October 1967 (USA),Winston Hibler,Jack Speirs|Jack Speirs,Ron Brown|Brian Russell|Linda Wallace
3346,Horror,Color Me Blood Red (1965),,,,
3347,Drama,Never Cry Wolf (1983),27 January 1984 (USA),Carroll Ballard,Farley Mowat|Curtis Hanson,Charles Martin Smith|Brian Dennehy|Zachary Ittimangnaq
3348,Crime|Thriller,"Night Visitor, The (1970)","September 7, 1973 ",Laslo Benedek,Guy Elmes|Samuel Roeca|Guy Elmes|Samuel Roeca|Guy Elmes|Samuel Roeca|Guy Elmes|Samuel Roeca|Guy Elmes|Samuel Roeca|Guy Elmes|Samuel Roeca,Max von Sydow|Trevor Howard|Liv Ullmann|Max von Sydow|Trevor Howard|Liv Ullmann|Max von Sydow|Trevor Howard|Liv Ullmann|Max von Sydow|Trevor Howard|Liv Ullmann
3349,Comedy,"Perils of Pauline, The (1947)","July 4, 1947 ",George Marshall,P.J. Wolfson|Frank Butler|P.J. Wolfson|Frank Butler|P.J. Wolfson|Frank Butler|P.J. Wolfson|Frank Butler|P.J. Wolfson|Frank Butler|P.J. Wolfson|Frank Butler,Betty Hutton|John Lund|Billy De Wolfe|Betty Hutton|John Lund|Billy De Wolfe|Betty Hutton|John Lund|Billy De Wolfe|Betty Hutton|John Lund|Billy De Wolfe
3350,Drama,"Raisin in the Sun, A (1961)",18 May 1961 (UK),Daniel Petrie,Lorraine Hansberry,Sidney Poitier|Claudia McNeil|Ruby Dee
3351,Horror,Two Thousand Maniacs! (1964),"March 20, 1964 ",Herschell Gordon Lewis,Herschell Gordon Lewis|Herschell Gordon Lewis|Herschell Gordon Lewis,Connie Mason|William Kerwin|Jeffrey Allen|Connie Mason|William Kerwin|Jeffrey Allen|Connie Mason|William Kerwin|Jeffrey Allen|Connie Mason|William Kerwin|Jeffrey Allen
3352,Drama,Brown's Requiem (1998),"June 3, 1999 ",Jason Freeland,Jason Freeland|James Ellroy|Jason Freeland|James Ellroy|Jason Freeland|James Ellroy|Jason Freeland|James Ellroy|Jason Freeland|James Ellroy|Jason Freeland|James Ellroy,Michael Rooker|Big Daddy Wayne|Jack Wallace|Michael Rooker|Big Daddy Wayne|Jack Wallace|Michael Rooker|Big Daddy Wayne|Jack Wallace|Michael Rooker|Big Daddy Wayne|Jack Wallace
3353,Comedy|Romance,"Closer You Get, The (2000)",8 September 2000 (UK),Aileen Ritchie,Herbie Wave,Ian Hart|Sean McGinley|Niamh Cusack
3354,Sci-Fi,Mission to Mars (2000),10 March 2000 (USA),Brian De Palma,Lowell Cannon|Jim Thomas,Tim Robbins|Gary Sinise|Don Cheadle
3355,Thriller,"Ninth Gate, The (2000)","March 10, 2000 ",Roman Polanski,Arturo Pérez-Reverte|John Brownjohn|Enrique Urbizu|Arturo Pérez-Reverte|John Brownjohn|Enrique Urbizu|Arturo Pérez-Reverte|John Brownjohn|Enrique Urbizu|Arturo Pérez-Reverte|John Brownjohn|Enrique Urbizu|Arturo Pérez-Reverte|John Brownjohn|Enrique Urbizu|Arturo Pérez-Reverte|John Brownjohn|Enrique Urbizu,Johnny Depp|Frank Langella|Lena Olin|Johnny Depp|Frank Langella|Lena Olin|Johnny Depp|Frank Langella|Lena Olin|Johnny Depp|Frank Langella|Lena Olin
3356,Documentary,Condo Painting (2000),"August 17, 2001 ",John McNaughton,George Condo|John McNaughton|George Condo|John McNaughton|George Condo|John McNaughton|George Condo|John McNaughton|George Condo|John McNaughton|George Condo|John McNaughton,Patrick Achdjian|William S. Burroughs|Anna Condo|Patrick Achdjian|William S. Burroughs|Anna Condo|Patrick Achdjian|William S. Burroughs|Anna Condo|Patrick Achdjian|William S. Burroughs|Anna Condo
3357,Drama|Romance,East-West (Est-ouest) (1999),"May 5, 2000 ",Régis Wargnier,Rustam Ibragimbekov|Sergei Bodrov|Louis Gardel|Rustam Ibragimbekov|Sergei Bodrov|Louis Gardel|Rustam Ibragimbekov|Sergei Bodrov|Louis Gardel|Rustam Ibragimbekov|Sergei Bodrov|Louis Gardel|Rustam Ibragimbekov|Sergei Bodrov|Louis Gardel|Rustam Ibragimbekov|Sergei Bodrov|Louis Gardel,Oleg Menshikov|Sandrine Bonnaire|Catherine Deneuve|Oleg Menshikov|Sandrine Bonnaire|Catherine Deneuve|Oleg Menshikov|Sandrine Bonnaire|Catherine Deneuve|Oleg Menshikov|Sandrine Bonnaire|Catherine Deneuve
3358,Comedy|Romance,Defending Your Life (1991),5 April 1991 (USA),Albert Brooks,Albert Brooks,Albert Brooks|Meryl Streep|Rip Torn
3359,Drama,Breaking Away (1979),20 July 1979 (USA),Peter Yates,Steve Tesich,Dennis Christopher|Dennis Quaid|Daniel Stern
3360,Drama,Hoosiers (1986),27 February 1987 (USA),David Anspaugh,Angelo Pizzo,Gene Hackman|Barbara Hershey|Dennis Hopper
3361,Comedy,Bull Durham (1988),15 June 1988 (USA),Ron Shelton,Ron Shelton,Kevin Costner|Susan Sarandon|Tim Robbins
3362,Comedy|Crime|Drama,Dog Day Afternoon (1975),25 December 1975 (USA),Sidney Lumet,Frank Pierson|P.F. Kluge,Al Pacino|John Cazale|Penelope Allen
3363,Comedy|Drama,American Graffiti (1973),11 August 1973 (USA),George Lucas,George Lucas|Gloria Katz,Richard Dreyfuss|Ron Howard|Paul Le Mat
3364,Crime|Film-Noir,"Asphalt Jungle, The (1950)",1 June 1950 (USA),John Huston,Ben Maddow|John Huston,Sterling Hayden|Louis Calhern|Jean Hagen
3365,Western,"Searchers, The (1956)",26 May 1956 (USA),John Ford,Frank S. Nugent,John Wayne|Jeffrey Hunter|Vera Miles
3366,Action|Adventure|War,Where Eagles Dare (1969),"March 12, 1969 ",Brian G. Hutton,Alistair MacLean|Alistair MacLean|Alistair MacLean,Richard Burton|Clint Eastwood|Mary Ure|Richard Burton|Clint Eastwood|Mary Ure|Richard Burton|Clint Eastwood|Mary Ure|Richard Burton|Clint Eastwood|Mary Ure
3367,War,"Devil's Brigade, The (1968)","August 2, 1968 ",Andrew V. McLaglen,William Roberts|Robert H. Adleman|George Walton|William Roberts|Robert H. Adleman|George Walton|William Roberts|Robert H. Adleman|George Walton|William Roberts|Robert H. Adleman|George Walton|William Roberts|Robert H. Adleman|George Walton|William Roberts|Robert H. Adleman|George Walton,William Holden|Cliff Robertson|Vince Edwards|William Holden|Cliff Robertson|Vince Edwards|William Holden|Cliff Robertson|Vince Edwards|William Holden|Cliff Robertson|Vince Edwards
3368,Romance|Western,"Big Country, The (1958)",October 1958 (USA),William Wyler,James R. Webb|Sy Bartlett,Gregory Peck|Jean Simmons|Carroll Baker
3369,Crime,Any Number Can Win (Mélodie en sous-sol ) (1963),,,,
3370,Drama|Thriller,Betrayed (1988),26 August 1988 (USA),Costa-Gavras,Joe Eszterhas,Debra Winger|Tom Berenger|John Heard
3371,Drama,Bound for Glory (1976),"December 5, 1976 ",Hal Ashby,Robert Getchell|Woody Guthrie|Robert Getchell|Woody Guthrie|Robert Getchell|Woody Guthrie|Robert Getchell|Woody Guthrie|Robert Getchell|Woody Guthrie|Robert Getchell|Woody Guthrie,David Carradine|Ronny Cox|Melinda Dillon|David Carradine|Ronny Cox|Melinda Dillon|David Carradine|Ronny Cox|Melinda Dillon|David Carradine|Ronny Cox|Melinda Dillon
3372,Action|War,"Bridge at Remagen, The (1969)",23 October 1969 (Sweden),John Guillermin,Richard Yates|William Roberts,George Segal|Robert Vaughn|Ben Gazzara
3373,Western,Buck and the Preacher (1972),"March 17, 1972 ",Sidney Poitier|Joseph Sargent,Ernest Kinoy|Drake Walker|Ernest Kinoy|Drake Walker|Ernest Kinoy|Drake Walker|Ernest Kinoy|Drake Walker|Ernest Kinoy|Drake Walker|Ernest Kinoy|Drake Walker,Sidney Poitier|Harry Belafonte|Ruby Dee|Sidney Poitier|Harry Belafonte|Ruby Dee|Sidney Poitier|Harry Belafonte|Ruby Dee|Sidney Poitier|Harry Belafonte|Ruby Dee
3374,Drama,Daughters of the Dust (1992),"December 27, 1991 ",Julie Dash,Julie Dash|Julie Dash|Julie Dash,Cora Lee Day|Alva Rogers|Barbarao|Cora Lee Day|Alva Rogers|Barbarao|Cora Lee Day|Alva Rogers|Barbarao|Cora Lee Day|Alva Rogers|Barbarao
3375,Sci-Fi,Destination Moon (1950),August 1950 ,Irving Pichel,Alford Van Ronkel|Robert A. Heinlein|James O'Hanlon|Alford Van Ronkel|Robert A. Heinlein|James O'Hanlon|Alford Van Ronkel|Robert A. Heinlein|James O'Hanlon|Alford Van Ronkel|Robert A. Heinlein|James O'Hanlon|Alford Van Ronkel|Robert A. Heinlein|James O'Hanlon|Alford Van Ronkel|Robert A. Heinlein|James O'Hanlon,John Archer|Warner Anderson|Tom Powers|John Archer|Warner Anderson|Tom Powers|John Archer|Warner Anderson|Tom Powers|John Archer|Warner Anderson|Tom Powers
3376,Romance,"Fantastic Night, The (La Nuit Fantastique) (1949)",,,,
3377,Drama|War,Hangmen Also Die (1943),April 1943 ,Fritz Lang,John Wexley|Bertolt Brecht|Fritz Lang|John Wexley|Bertolt Brecht|Fritz Lang|John Wexley|Bertolt Brecht|Fritz Lang|John Wexley|Bertolt Brecht|Fritz Lang|John Wexley|Bertolt Brecht|Fritz Lang|John Wexley|Bertolt Brecht|Fritz Lang,Brian Donlevy|Walter Brennan|Anna Lee|Brian Donlevy|Walter Brennan|Anna Lee|Brian Donlevy|Walter Brennan|Anna Lee|Brian Donlevy|Walter Brennan|Anna Lee
3378,Drama,"Ogre, The (Der Unhold) (1996)","August 11, 2022 ",,,
3379,Drama,On the Beach (1959),17 December 1959 (USA),Stanley Kramer,John Paxton,Gregory Peck|Ava Gardner|Fred Astaire
3380,Film-Noir,Railroaded! (1947),"September 25, 1947 ",Anthony Mann,John C. Higgins|Gertrude Walker|John C. Higgins|Gertrude Walker|John C. Higgins|Gertrude Walker|John C. Higgins|Gertrude Walker|John C. Higgins|Gertrude Walker|John C. Higgins|Gertrude Walker,John Ireland|Sheila Ryan|Hugh Beaumont|John Ireland|Sheila Ryan|Hugh Beaumont|John Ireland|Sheila Ryan|Hugh Beaumont|John Ireland|Sheila Ryan|Hugh Beaumont
3381,Comedy|Drama,Slaves to the Underground (1997),"November 14, 1997 ",Kristine Peterson,Bill Cody|Bill Cody|Bill Cody,Molly Gross|Jason Bortz|Marisa Ryan|Molly Gross|Jason Bortz|Marisa Ryan|Molly Gross|Jason Bortz|Marisa Ryan|Molly Gross|Jason Bortz|Marisa Ryan
3382,Drama,Song of Freedom (1936),"January 25, 1937 ",J. Elder Wills,Claude Wallace|Dorothy Holloway|Ingram D'Abbes|Claude Wallace|Dorothy Holloway|Ingram D'Abbes|Claude Wallace|Dorothy Holloway|Ingram D'Abbes|Claude Wallace|Dorothy Holloway|Ingram D'Abbes|Claude Wallace|Dorothy Holloway|Ingram D'Abbes|Claude Wallace|Dorothy Holloway|Ingram D'Abbes,Paul Robeson|Elisabeth Welch|Esme Percy|Paul Robeson|Elisabeth Welch|Esme Percy|Paul Robeson|Elisabeth Welch|Esme Percy|Paul Robeson|Elisabeth Welch|Esme Percy
3383,Drama|Musical,Big Fella (1937),1939 ,J. Elder Wills,Ingram D'Abbes|Claude McKay|Fenn Sherie|Ingram D'Abbes|Claude McKay|Fenn Sherie|Ingram D'Abbes|Claude McKay|Fenn Sherie|Ingram D'Abbes|Claude McKay|Fenn Sherie|Ingram D'Abbes|Claude McKay|Fenn Sherie|Ingram D'Abbes|Claude McKay|Fenn Sherie,Paul Robeson|Elisabeth Welch|Roy Emerton|Paul Robeson|Elisabeth Welch|Roy Emerton|Paul Robeson|Elisabeth Welch|Roy Emerton|Paul Robeson|Elisabeth Welch|Roy Emerton
3384,Action,"Taking of Pelham One Two Three, The (1974)",14 November 1974 (West Germany),Joseph Sargent,John Godey,Walter Matthau|Robert Shaw|Martin Balsam
3385,Comedy,Volunteers (1985),16 August 1985 (USA),Nicholas Meyer,Keith Critchlow|Ken Levine,Tom Hanks|John Candy|Rita Wilson
3386,Drama|Mystery,JFK (1991),20 December 1991 (USA),Oliver Stone,Oliver Stone|Zachary Sklar,Kevin Costner|Gary Oldman|Jack Lemmon
3387,Comedy,Who's Harry Crumb? (1989),3 February 1989 (USA),Paul Flaherty,Robert Conte,John Candy|Jeffrey Jones|Annie Potts
3388,Comedy,Harry and the Hendersons (1987),5 June 1987 (USA),William Dear,William Dear|Bill Martin,John Lithgow|Melinda Dillon|Margaret Langrick
3389,Action|Adventure,Let's Get Harry (1986),31 October 1986 (USA),Stuart Rosenberg,Mark Feldberg|Samuel Fuller,Michael Schoeffling|Thomas F. Wilson|Fidel Abrego
3390,Adventure,Shanghai Surprise (1986),29 August 1986 (USA),Jim Goddard,John Kohn|Robert Bentley,Sean Penn|Madonna|Paul Freeman
3391,Comedy,Who's That Girl? (1987),"August 7, 1987 ",James Foley,Andrew Smith|Ken Finkleman|Andrew Smith|Ken Finkleman|Andrew Smith|Ken Finkleman|Andrew Smith|Ken Finkleman|Andrew Smith|Ken Finkleman|Andrew Smith|Ken Finkleman,Madonna|Griffin Dunne|Haviland Morris|Madonna|Griffin Dunne|Haviland Morris|Madonna|Griffin Dunne|Haviland Morris|Madonna|Griffin Dunne|Haviland Morris
3392,Comedy,She-Devil (1989),8 December 1989 (USA),Susan Seidelman,Fay Weldon|Barry Strugatz,Meryl Streep|Roseanne Barr|Ed Begley Jr.
3393,Comedy|Fantasy,Date with an Angel (1987),20 November 1987 (USA),Tom McLoughlin,Tom McLoughlin,Michael E. Knight|Phoebe Cates|Emmanuelle Béart
3394,Comedy|Romance,Blind Date (1987),27 March 1987 (USA),Blake Edwards,Dale Launer|Blake Edwards|Leslie Dixon,Kim Basinger|Bruce Willis|John Larroquette
3395,Comedy,Nadine (1987),7 August 1987 (USA),Robert Benton,Robert Benton,Jeff Bridges|Kim Basinger|Rip Torn
3396,Children's|Comedy,"Muppet Movie, The (1979)",31 May 1979 (UK),James Frawley,Jerry Juhl,Jim Henson|Frank Oz|Jerry Nelson
3397,Children's|Comedy,"Great Muppet Caper, The (1981)",26 June 1981 (USA),Jim Henson,Tom Patchett|Jay Tarses,Jim Henson|Frank Oz|Dave Goelz
3398,Children's|Comedy,"Muppets Take Manhattan, The (1984)",1 February 1988 (China),Frank Oz,Tom Patchett|Jay Tarses,Jim Henson|Frank Oz|Dave Goelz
3399,Children's|Comedy,Sesame Street Presents Follow That Bird (1985),"August 2, 1985 ",Ken Kwapis,Tony Geiss|Judy Freudberg|Tony Geiss|Judy Freudberg|Tony Geiss|Judy Freudberg|Tony Geiss|Judy Freudberg|Tony Geiss|Judy Freudberg|Tony Geiss|Judy Freudberg,Caroll Spinney|Jim Henson|Frank Oz|Caroll Spinney|Jim Henson|Frank Oz|Caroll Spinney|Jim Henson|Frank Oz|Caroll Spinney|Jim Henson|Frank Oz
3400,Animation|Children's,We're Back! A Dinosaur's Story (1993),5 May 1994 (China),Phil Nibbelink|Simon Wells|2 more credits,John Patrick Shanley,John Goodman|Charles Fleischer|Blaze Berdahl
3401,Adventure|Sci-Fi,Baby... Secret of the Lost Legend (1985),"March 22, 1985 ",Bill Norton,Clifford Green|Ellen Green|David Lee Miller|Clifford Green|Ellen Green|David Lee Miller|Clifford Green|Ellen Green|David Lee Miller|Clifford Green|Ellen Green|David Lee Miller|Clifford Green|Ellen Green|David Lee Miller|Clifford Green|Ellen Green|David Lee Miller,William Katt|Sean Young|Patrick McGoohan|William Katt|Sean Young|Patrick McGoohan|William Katt|Sean Young|Patrick McGoohan|William Katt|Sean Young|Patrick McGoohan
3402,Drama,Turtle Diary (1985),6 December 1985 (UK),John Irvin,Russell Hoban,Glenda Jackson|Ben Kingsley|Richard Johnson
3403,Drama|Thriller,Raise the Titanic (1980),1 August 1980 (USA),Jerry Jameson,Adam Kennedy|Eric Hughes,Jason Robards|Richard Jordan|David Selby
3404,Action|Drama,Titanic (1953),13 July 1953 (UK),Jean Negulesco,Charles Brackett|Walter Reisch,Clifton Webb|Barbara Stanwyck|Robert Wagner
3405,Action|Drama,"Night to Remember, A (1958)",3 July 1958 (UK),Roy Ward Baker,Walter Lord,Kenneth More|Ronald Allen|Robert Ayres
3406,Action|Adventure|War,Captain Horatio Hornblower (1951),"April 10, 1951 ",Raoul Walsh,Ivan Goff|Ben Roberts|Æneas MacKenzie|Ivan Goff|Ben Roberts|Æneas MacKenzie|Ivan Goff|Ben Roberts|Æneas MacKenzie|Ivan Goff|Ben Roberts|Æneas MacKenzie|Ivan Goff|Ben Roberts|Æneas MacKenzie|Ivan Goff|Ben Roberts|Æneas MacKenzie,Gregory Peck|Virginia Mayo|Robert Beatty|Gregory Peck|Virginia Mayo|Robert Beatty|Gregory Peck|Virginia Mayo|Robert Beatty|Gregory Peck|Virginia Mayo|Robert Beatty
3407,Comedy|Drama,"Carriers Are Waiting, The (Les Convoyeurs Attendent) (1999)","May 19, 1999 ",Benoît Mariage,Emmanuelle Bada|Benoît Mariage|Jean-Luc Seigle|Emmanuelle Bada|Benoît Mariage|Jean-Luc Seigle|Emmanuelle Bada|Benoît Mariage|Jean-Luc Seigle|Emmanuelle Bada|Benoît Mariage|Jean-Luc Seigle|Emmanuelle Bada|Benoît Mariage|Jean-Luc Seigle|Emmanuelle Bada|Benoît Mariage|Jean-Luc Seigle,Benoît Poelvoorde|Morgane Simon|Bouli Lanners|Benoît Poelvoorde|Morgane Simon|Bouli Lanners|Benoît Poelvoorde|Morgane Simon|Bouli Lanners|Benoît Poelvoorde|Morgane Simon|Bouli Lanners|K-Star|K2 SA|Radio Télévision Belge Francophone 
3408,Drama,Erin Brockovich (2000),17 March 2000 (USA),Steven Soderbergh,Susannah Grant,Julia Roberts|Albert Finney|David Brisbin
3409,Drama|Thriller,Final Destination (2000),17 March 2000 (USA),James Wong,Glen Morgan|James Wong,Devon Sawa|Ali Larter|Kerr Smith
3410,Comedy|Drama,Soft Fruit (1999),28 October 1999 (Australia),Christina Andreef,Christina Andreef,Jeanie Drynan|Linal Haft|Russell Dykstra
3411,Drama,Babymother (1998),"September 11, 1998 ",Julian Henriques,Julian Henriques|Vivienne Howard|Julian Henriques|Vivienne Howard|Julian Henriques|Vivienne Howard|Julian Henriques|Vivienne Howard|Julian Henriques|Vivienne Howard|Julian Henriques|Vivienne Howard,Anjela Lauren Smith|Wil Johnson|Caroline Chikezie|Anjela Lauren Smith|Wil Johnson|Caroline Chikezie|Anjela Lauren Smith|Wil Johnson|Caroline Chikezie|Anjela Lauren Smith|Wil Johnson|Caroline Chikezie
3412,Adventure,"Bear, The (1988)","October 27, 1989 ",Jean-Jacques Annaud,James Oliver Curwood|Gérard Brach|James Oliver Curwood|Gérard Brach|James Oliver Curwood|Gérard Brach|James Oliver Curwood|Gérard Brach|James Oliver Curwood|Gérard Brach|James Oliver Curwood|Gérard Brach,Tchéky Karyo|Bart the Bear|Youk the Bear|Tchéky Karyo|Bart the Bear|Youk the Bear|Tchéky Karyo|Bart the Bear|Youk the Bear|Tchéky Karyo|Bart the Bear|Youk the Bear
3413,Crime|Drama,Impact (1949),"April 1, 1949 ",Arthur Lubin,Dorothy Davenport|Jay Dratler|Dorothy Davenport|Jay Dratler|Dorothy Davenport|Jay Dratler|Dorothy Davenport|Jay Dratler|Dorothy Davenport|Jay Dratler|Dorothy Davenport|Jay Dratler,Brian Donlevy|Ella Raines|Charles Coburn|Brian Donlevy|Ella Raines|Charles Coburn|Brian Donlevy|Ella Raines|Charles Coburn|Brian Donlevy|Ella Raines|Charles Coburn
